q1g,q2g,q3g
-2.596032216676255611e-01,-1.009419982629610191e-01,1.489481139104220364e-01
-2.599096908476785650e-01,-9.961872489114255436e-02,1.499743876507098894e-01
-2.599774483939866210e-01,-9.917413977816640080e-02,1.501480696256186631e-01
-2.597025038015489673e-01,-9.981787941264522179e-02,1.502415575751128995e-01
-2.592768164322781232e-01,-1.009907833586217857e-01,1.506422518250386255e-01
-2.590535653138522076e-01,-1.017906455469399229e-01,1.511016220586963721e-01
-2.592158934328657738e-01,-1.017473730559367295e-01,1.512210892158630249e-01
-2.595951957708030333e-01,-1.012113938266930024e-01,1.508758727551747225e-01
-2.598407202089790813e-01,-1.009476416356915873e-01,1.502020731357036343e-01
-2.597230931497799822e-01,-1.014492281703460036e-01,1.494123740092841435e-01
-2.592789775651352935e-01,-1.026260980488826746e-01,1.486460198673126565e-01
-2.587397808097654517e-01,-1.039655104543294323e-01,1.479730113018737081e-01
-2.583500173012638346e-01,-1.049140751724104981e-01,1.474780640884343075e-01
-2.582080078676298185e-01,-1.052324267731848256e-01,1.472358378567606707e-01
-2.582291036070890611e-01,-1.051359875025821844e-01,1.472120913869764403e-01
-2.582433377412137743e-01,-1.051270978336738132e-01,1.472881134778847023e-01
-2.581177436036455886e-01,-1.056481199048795727e-01,1.474011416642034278e-01
-2.578218895331110261e-01,-1.067625680378047198e-01,1.476319531194376089e-01
-2.574216007846386600e-01,-1.081133757367032100e-01,1.481417844181109333e-01
-2.570412071558537126e-01,-1.091547940817692020e-01,1.490561660700182589e-01
-2.568073915713206534e-01,-1.094537608469559192e-01,1.504368334400887075e-01
-2.568008037957791867e-01,-1.088500264395243500e-01,1.522974883808822788e-01
-2.570063751523401496e-01,-1.075526984545650960e-01,1.544773816003249534e-01
-2.572985198987446931e-01,-1.061293533947380713e-01,1.565098285114061571e-01
-2.574991009518184937e-01,-1.052261672524346103e-01,1.578606125652650682e-01
-2.575046590693753634e-01,-1.051172980494065601e-01,1.583294417723944414e-01
-2.574108531713721892e-01,-1.054609922636866037e-01,1.579999525849772324e-01
-2.574866728025775320e-01,-1.055389607702847815e-01,1.569157177165215467e-01
-2.579449669334537565e-01,-1.048184300045791884e-01,1.552368549809756415e-01
-2.586934449815027626e-01,-1.033877404866854338e-01,1.537070882704322794e-01
-2.593562699263488036e-01,-1.018861124141852981e-01,1.534182685374233801e-01
-2.595955501989785086e-01,-1.009369317913887121e-01,1.548845548683032147e-01
-2.593898536103963481e-01,-1.006568297641016879e-01,1.575438267224346656e-01
-2.589625186106878085e-01,-1.007924283851486108e-01,1.602099353972170626e-01
-2.584994842826908723e-01,-1.012181147932863651e-01,1.618734866089497904e-01
-2.580112783634955220e-01,-1.020578049670132770e-01,1.622812568460892391e-01
-2.574531568725249575e-01,-1.032942642617533935e-01,1.620196406042128390e-01
